kic1	kic2	tyc1	tyc2
KIC	2696732		TYC
KIC	2697082		TYC
KIC	2836038		TYC
KIC	2973894		TYC
KIC	3102479		KIC
KIC	3942203		TYC
KIC	4042951		TYC
KIC	4143460		TYC
KIC	3733028		KIC
KIC	4350501		TYC
KIC	4141815		TYC
KIC	3835996		KIC
KIC	4041405		TYC
KIC	4140726		KIC
KIC	3938291		TYC
KIC	4039306		TYC
KIC	4244973		TYC
KIC	4139914		TYC
KIC	4139784		TYC
KIC	4040211		TYC
KIC	3937217		TYC
KIC	4243796		TYC
KIC	4243803		TYC
KIC	4346893		TYC
KIC	4346319		TYC
KIC	4445711		TYC
KIC	4241369		TYC
KIC	4345370		KIC
KIC	3934458		TYC
KIC	4136374		TYC
KIC	4036300		TYC
KIC	4036007		KIC
KIC	5084662		TYC
KIC	4548564		KIC
KIC	4640537		KIC
KIC	5083936		TYC
KIC	4995788		KIC
KIC	4546625		TYC
KIC	4448636		KIC
KIC	4545474		TYC
KIC	4638317		TYC
KIC	4906950		TYC
KIC	4543229		KIC
KIC	1864855		KIC
KIC	2444348		TYC
KIC	2303367		TYC
